quiz_id	num_items	num_students	num_skills	frac_nans	SPARFA_train_acc_mean	SPARFA_train_acc_std	VIBO_train_acc_mean	VIBO_train_acc_std	QFactor_train_acc_mean	QFactor_train_acc_std	Q2Factor_train_acc_mean	Q2Factor_train_acc_std	SPARFA_train_auc_mean	SPARFA_train_auc_std	VIBO_train_auc_mean	VIBO_train_auc_std	QFactor_train_auc_mean	QFactor_train_auc_std	Q2Factor_train_auc_mean	Q2Factor_train_auc_std	SPARFA_test_acc_mean	SPARFA_test_acc_std	VIBO_test_acc_mean	VIBO_test_acc_std	QFactor_test_acc_mean	QFactor_test_acc_std	Q2Factor_test_acc_mean	Q2Factor_test_acc_std	SPARFA_test_auc_mean	SPARFA_test_auc_std	VIBO_test_auc_mean	VIBO_test_auc_std	QFactor_test_auc_mean	QFactor_test_auc_std	Q2Factor_test_auc_mean	Q2Factor_test_auc_std	SPARFA_sparsity_mean	SPARFA_sparsity_std	VIBO_sparsity_mean	VIBO_sparsity_std	QFactor_sparsity_mean	QFactor_sparsity_std	Q2Factor_sparsity_mean	Q2Factor_sparsity_std	SPARFA_train_time_mean	SPARFA_train_time_std	VIBO_train_time_mean	VIBO_train_time_std	QFactor_train_time_mean	QFactor_train_time_std	Q2Factor_train_time_mean	Q2Factor_train_time_std	SPARFA_pred_time_mean	SPARFA_pred_time_std	VIBO_pred_time_mean	VIBO_pred_time_std	QFactor_pred_time_mean	QFactor_pred_time_std	Q2Factor_pred_time_mean	Q2Factor_pred_time_std
77	20	669	8	0.137369	0.954444	0.00443638	0.895611	0.00272701	0.86533	0.00662044	0.890918	0.00391386	0.988874	0.00353323	0.964636	0.00107139	0.948724	0.00264379	0.967324	0.0014066	0.937205	0.00499074	0.867891	0.00968545	0.857418	0.0067624	0.881645	0.00551982	0.981081	0.00611452	0.945783	0.00600383	0.942632	0.0052646	0.962383	0.00301674	0.260625	0.0279578	0.00125	0.0025	0.694375	0.0295077	0.55	0.0302335	26.1284	1.35059	3.01675	0.224513	1.86488	0.430769	12.5854	4.8876	0.509537	0.0351527	0.000230742	4.14025e-06	0.000168633	3.34896e-05	0.000169611	3.03495e-06
84	18	2946	3	0.183243	0.806503	0.00463882	0.794247	0.00246862	0.782584	0.00384487	0.789365	0.00638215	0.90694	0.00239979	0.876401	0.0012289	0.863119	0.00120075	0.875793	0.00173578	0.805042	0.00562182	0.790271	0.00951699	0.781931	0.00704088	0.789164	0.00943243	0.905075	0.00414983	0.872422	0.00722307	0.860768	0.00665918	0.874707	0.00574761	0.151852	0.0215961	0.00185185	0.00555556	0.52037	0.0267719	0.351852	0.0248452	41.5466	3.03607	12.4581	0.716157	3.63596	0.685331	34.2768	12.2316	0.974126	0.162142	0.000300908	9.37167e-06	0.00047369	0.0008139	0.000212502	2.97221e-06
85	7	1500	2	0.0699048	0.890979	0.00721461	0.858591	0.0133898	0.864231	0.00675913	0.873505	0.0112462	0.97076	0.00145606	0.935539	0.0029985	0.932855	0.00331189	0.944696	0.00396924	0.88942	0.00884563	0.853783	0.0141304	0.857153	0.0130724	0.873821	0.0131418	0.969628	0.00514906	0.932716	0.00897518	0.928974	0.00934685	0.944436	0.00715802	0.157143	0.0428571	0	0	0.292857	0.0871897	0.264286	0.0457366	17.8172	1.37365	6.35865	0.527069	0.458136	0.0616764	3.95442	3.72222	0.332773	0.0930714	0.000196362	1.86611e-05	0.00030849	0.000617691	0.000107121	4.42207e-06
87	14	1845	3	0.144561	0.83431	0.00425354	0.805313	0.00455611	0.786384	0.00335959	0.788695	0.00949039	0.920603	0.00257819	0.878292	0.00279101	0.860743	0.00229245	0.874372	0.00356835	0.830095	0.0115625	0.801866	0.0115829	0.787597	0.00862674	0.787241	0.0118145	0.916765	0.00765201	0.874836	0.00779164	0.859876	0.00857356	0.871444	0.00626577	0.159524	0.0384655	0	0	0.371429	0.0285714	0.302381	0.0337558	28.7846	3.02858	8.04454	0.695986	1.64257	0.551346	12.9347	4.74336	0.629525	0.149872	0.000254035	1.56713e-05	0.00015204	2.37953e-06	0.000162935	3.16873e-06
88	15	2921	3	0.118498	0.820073	0.00455257	0.808705	0.00243508	0.796765	0.00572807	0.8055	0.00523679	0.925176	0.00309352	0.899985	0.00230107	0.88966	0.00314793	0.90325	0.00112945	0.814479	0.00885056	0.80932	0.00749876	0.794999	0.00945105	0.805185	0.0120621	0.919983	0.00528616	0.898413	0.00538675	0.887936	0.0050017	0.902236	0.00481793	0.14	0.0263874	0	0	0.455556	0.0248452	0.34	0.0544784	58.5978	6.40622	15.8524	1.65907	3.9524	1.41268	39.1264	15.5006	1.35471	0.204436	0.000609422	0.00079478	0.000379562	0.000460787	0.000239253	8.27407e-05
91	16	986	2	0.13717	0.79061	0.00338856	0.770825	0.00203755	0.763718	0.00211442	0.768564	0.00391644	0.846488	0.00312	0.821149	0.00202981	0.814094	0.00299373	0.817243	0.00341982	0.784426	0.0119198	0.768152	0.0123352	0.761129	0.0108589	0.76223	0.0132976	0.837596	0.0111034	0.813599	0.0153789	0.808241	0.0105864	0.810179	0.0100164	0.0625	0.0242061	0	0	0.3625	0.0423896	0.20625	0.0596212	14.3637	1.10729	5.88534	0.59101	0.782725	0.149617	6.97699	4.48118	0.272769	0.0439411	0.000289536	0.000144443	0.000166416	3.67802e-05	0.000268435	0.00030442
92	7	1772	3	0.0715898	0.951213	0.00448207	0.910721	0.00957892	0.871899	0.00264909	0.916265	0.00697994	0.992839	0.000487126	0.972911	0.002278	0.95505	0.00140736	0.973185	0.00149606	0.947774	0.00484973	0.91013	0.0106526	0.870604	0.00880065	0.915085	0.0137057	0.99162	0.00133323	0.971295	0.00420613	0.952647	0.00482847	0.97161	0.00371725	0.133333	0.0190476	0	0	0.457143	0.0233285	0.390476	0.0285714	44.9949	4.15756	10.0612	1.23638	0.861713	0.163276	4.40034	1.6104	0.86334	0.143355	0.000271153	0.000159232	0.000477099	0.00103383	0.000131655	2.91468e-05
95	5	1522	2	0.0583443	0.913995	0.0116355	0.882869	0.0163791	0.823673	0.00722623	0.878157	0.00651903	0.979975	0.00185221	0.950076	0.00618976	0.922312	0.00210866	0.95787	0.00354294	0.915046	0.0160635	0.877379	0.0186007	0.816385	0.0186256	0.874709	0.0141873	0.979727	0.00457077	0.947299	0.00644785	0.917876	0.00959996	0.957192	0.00436282	0.13	0.0458258	0	0	0.28	0.04	0.26	0.08	26.0034	2.69985	8.51397	0.829934	0.241616	0.0367059	2.68303	0.721437	0.541191	0.0906143	0.000229025	8.28807e-05	0.000103617	2.34452e-05	0.000103879	1.56951e-05
97	15	1853	4	0.109228	0.887612	0.00503796	0.859585	0.00191795	0.837548	0.00655317	0.856454	0.00448847	0.97013	0.0020081	0.939871	0.000894184	0.927826	0.00255716	0.946022	0.00157729	0.882426	0.0115686	0.857657	0.0105793	0.836458	0.0112582	0.854119	0.00788018	0.967363	0.0050294	0.936729	0.00676768	0.925441	0.00713106	0.94457	0.0045587	0.201667	0.0229129	0	0	0.566667	0.0288675	0.43	0.0194365	47.0433	8.2319	8.62084	0.874178	2.45521	0.41304	18.6377	6.42868	0.959717	0.248309	0.000272441	3.14112e-05	0.000162911	1.32029e-05	0.000176406	2.84741e-05
98	18	116	4	0.113985	0.889617	0.00710522	0.833769	0.00590486	0.830116	0.0065188	0.836288	0.00394215	0.966117	0.00303753	0.911435	0.00555839	0.90438	0.0046027	0.915255	0.00384185	0.831948	0.0398687	0.808756	0.0235214	0.792973	0.0304837	0.800704	0.0261344	0.905398	0.0416649	0.872091	0.0241492	0.864207	0.0324909	0.882131	0.0279288	0.186111	0.015466	0	0	0.591667	0.0198373	0.375	0.0515949	2.58347	0.092686	0.549707	0.0339868	0.144643	0.0350298	0.818483	0.133574	0.0349463	0.00573927	0.000180125	7.09611e-06	0.000108218	3.14245e-05	0.000286579	0.000527541
